strategy,control,metric,estimate,lower95,upper95,block,draws,n
HRP,Equal weight,mean_over_vol_rf0,0.7349196509567232,-0.6906909280693472,2.19371979137629,5,2000,428
HRP,Equal weight,mean_over_vol_rf0,0.7349196509567232,-0.4577819866773971,1.966738540117244,21,2000,428
HRP,Equal weight,mean_over_vol_rf0,0.7349196509567232,-0.24294403213540458,1.6841817508089507,63,2000,428
HRP,EQ risk HRP,mean_over_vol_rf0,0.6486430961933477,-0.8842097202170999,2.150513061803806,5,2000,428
HRP,EQ risk HRP,mean_over_vol_rf0,0.6486430961933477,-0.6492244129888414,1.9541137724165258,21,2000,428
HRP,EQ risk HRP,mean_over_vol_rf0,0.6486430961933477,-0.4181533784460552,1.709005101035879,63,2000,428
ERC,Equal weight,mean_over_vol_rf0,0.3526562812359574,-0.062161846415894555,0.7767857006238633,5,2000,428
ERC,Equal weight,mean_over_vol_rf0,0.3526562812359574,0.029546803637603085,0.6773683496820698,21,2000,428
ERC,Equal weight,mean_over_vol_rf0,0.3526562812359574,0.08471150526739535,0.5951545346504747,63,2000,428
ERC,EQ risk ERC,mean_over_vol_rf0,0.3042523338635856,-0.11324805182576908,0.7090410506570011,5,2000,428
ERC,EQ risk ERC,mean_over_vol_rf0,0.3042523338635856,-0.05953777615765,0.6331458029838868,21,2000,428
ERC,EQ risk ERC,mean_over_vol_rf0,0.3042523338635856,-0.03095132388891798,0.6007451847675699,63,2000,428
Inverse vol,Equal weight,mean_over_vol_rf0,0.3834674389062028,-0.010673306011670438,0.7927771830455286,5,2000,428
Inverse vol,Equal weight,mean_over_vol_rf0,0.3834674389062028,0.07710452840214829,0.6870311266646364,21,2000,428
Inverse vol,Equal weight,mean_over_vol_rf0,0.3834674389062028,0.12198283124096534,0.6217739242186365,63,2000,428
Inverse vol,EQ risk Inverse vol,mean_over_vol_rf0,0.31325393980700933,-0.1083686882951431,0.7062051787825535,5,2000,428
Inverse vol,EQ risk Inverse vol,mean_over_vol_rf0,0.31325393980700933,-0.05079807628719442,0.6384751693872581,21,2000,428
Inverse vol,EQ risk Inverse vol,mean_over_vol_rf0,0.31325393980700933,-0.011237598150970163,0.6045375045308318,63,2000,428
