period,strategy,n,annual_mean,cagr,volatility,mean_over_vol_rf0,max_drawdown,terminal_wealth,gross_mean,annual_turnover,annual_cost_fraction,mean_cash,mean_concentration
full,60/40 context,1539,0.09648062701705877,0.09499985131628175,0.10694353707627613,0.9021641667625523,-0.20726376258299628,1.7406333341365698,0.09665555852278465,0.34944419815571104,0.00017472209907785555,0.000649772579597141,0.5211225122391692
full,Defensive momentum,1539,0.005221938670355548,0.003378323618053347,0.0607819155931964,0.08591270313533954,-0.15871234472472573,1.0208107174473202,0.009750471344344315,9.025601116991169,0.004512800558495585,0.000649772579597141,0.7748910493660224
full,EQ risk ERC,1539,0.029790913108205128,0.029431030367932376,0.039593875534178785,0.7524121522907904,-0.08862582208162995,1.1938045691930605,0.0299328071786267,0.2836309668342133,0.00014181548341710663,0.6099002991800868,0.431819387201581
full,EQ risk HRP,1539,0.015911113716830984,0.015829940436762335,0.02024103665767022,0.7860819574575278,-0.043287108848053424,1.100669358946557,0.015997764464053713,0.17325575739693969,8.662787869846984e-05,0.8016715347521071,0.6610668803579702
full,EQ risk Inverse vol,1539,0.03051503426676055,0.030204319736929053,0.038908037708790665,0.7842861286182561,-0.08367725789728908,1.1992917493524287,0.030649489004811813,0.26876638827811117,0.0001343831941390556,0.6136735859320511,0.4336592835113437
full,ERC,1539,0.032352903009352126,0.03202797870145013,0.0406468376259408,0.7959512940978344,-0.11451516541681173,1.2123158171762132,0.032613112970864076,0.5201792746410947,0.0002600896373205474,0.000649772579597141,0.5518869150606487
full,Equal weight,1539,0.070193263671292,0.06787721801835733,0.09502589364037009,0.7386751229821807,-0.210006081154399,1.4934262627226764,0.0704185582507715,0.44992514201682576,0.00022496257100841288,0.000649772579597141,0.20062867024088243
full,HRP,1539,0.01715173035895816,0.01708324840765374,0.02061288539761905,0.8320877949934811,-0.06423415107960617,1.1089889152460626,0.017286269597335164,0.2690448773920631,0.00013452243869603153,0.000649772579597141,0.9193820013821857
full,Inverse vol,1539,0.033115217407674105,0.03284817650291405,0.039844934755561605,0.8311023122719969,-0.10912693854427691,1.2182118842699292,0.0333567817520334,0.4829118346427736,0.00024145591732138683,0.000649772579597141,0.557380869984731
late,60/40 context,428,0.12053240387326489,0.12168499524360743,0.1068957116533203,1.1275700587893602,-0.11245174209245357,1.2153500619014914,0.12061189922317374,0.15891559279910006,7.945779639955002e-05,0.0,0.5205849256080369
late,Defensive momentum,428,0.01777654141299076,0.015594565067522437,0.06782809495312656,0.2620822746868456,-0.10023069193634182,1.0266300177671395,0.022506985372332734,9.436649078023123,0.004718324539011562,0.0,0.7739939194557532
late,EQ risk ERC,428,0.06194994029890087,0.06310025153293086,0.038866261258141646,1.5939258959703435,-0.02876023827273988,1.109517085240566,0.06208392177375638,0.2680609432554902,0.0001340304716277451,0.6386051391886132,0.4388037908411059
late,EQ risk HRP,428,0.030933308838397136,0.03122995667042927,0.01895657385067918,1.6317985033613471,-0.014277074687477409,1.053618010169723,0.03099973926454664,0.13289322148136845,6.644661074068423e-05,0.8225139384854581,0.684144690097898
late,EQ risk Inverse vol,428,0.06393115481296427,0.06517876112899446,0.03956783575187538,1.6157354476971655,-0.028663798685482855,1.113203900611236,0.06404626309100123,0.23029914333548476,0.00011514957166774238,0.6295400542100646,0.42771736980645475
late,ERC,428,0.07170715713227227,0.07356572259065719,0.037776830439439774,1.898178229833929,-0.025655121234258282,1.1281315573379245,0.07190213751281196,0.39015289690520527,0.0001950764484526027,0.0,0.5552592582533755
late,Equal weight,428,0.16756148623220607,0.17544323268079687,0.10841740965517206,1.5455219485979717,-0.07924069411852086,1.3159257666267623,0.16771708648772252,0.3110873991532454,0.00015554369957662266,0.0,0.20013838121623684
