variant,strategy,control,ratio_difference,annual_mean_difference,vol_difference,erc_fallbacks
primary,HRP,EQ risk HRP,0.6486430961933474,0.004338631313532152,-0.003489420401620503,0
primary,ERC,EQ risk ERC,0.3042523338635854,0.0097572168333714,-0.0010894308187018756,0
primary,Inverse vol,EQ risk Inverse vol,0.3132539398070089,0.010121216812925361,-0.0011786294111902262,0
primary,Defensive momentum,Equal weight,-1.283439673911126,-0.1497849448192153,-0.0405893147020455,0
lookback126,HRP,EQ risk HRP,0.602394275436634,0.00551377622997544,-0.002266485176282363,0
lookback126,ERC,EQ risk ERC,0.2811806527480032,0.009594676973980172,-0.00033890481363849605,0
lookback126,Inverse vol,EQ risk Inverse vol,0.3212181593371599,0.01089740312787524,-0.0004704883980661439,0
lookback126,Defensive momentum,Equal weight,-1.283439673911126,-0.1497849448192153,-0.0405893147020455,0
lookback504,HRP,EQ risk HRP,0.7369219687375581,-0.00034764438418007716,-0.007195155592086377,1
lookback504,ERC,EQ risk ERC,0.23896584170934343,0.005175490562049491,-0.00302230124674894,1
lookback504,Inverse vol,EQ risk Inverse vol,0.26854397263137986,0.0060463152562117905,-0.0032757359825132007,1
lookback504,Defensive momentum,Equal weight,-1.283439673911126,-0.1497849448192153,-0.0405893147020455,1
shrinkage,HRP,EQ risk HRP,0.2694549777339572,-0.021372030109644065,-0.018234620015839923,0
shrinkage,ERC,EQ risk ERC,0.04902886210672497,-0.006942216976705727,-0.006006525031964257,0
shrinkage,Inverse vol,EQ risk Inverse vol,0.21560046152004197,-0.027356328485922003,-0.020796830509392388,0
shrinkage,Defensive momentum,Equal weight,-1.283439673911126,-0.1497849448192153,-0.0405893147020455,0
cost0,HRP,EQ risk HRP,0.647346437599494,0.004305491109888057,-0.0034892548331428926,0
cost0,ERC,EQ risk ERC,0.3060838016452134,0.00981821573905669,-0.001091365431874764,0
cost0,Inverse vol,EQ risk Inverse vol,0.3144018015103549,0.010159005628972189,-0.0011797650971063444,0
cost0,Defensive momentum,Equal weight,-1.2158211852762575,-0.14521010111538957,-0.04044919660444798,0
cost10,HRP,EQ risk HRP,0.6499424031498777,0.004371791949625944,-0.0034896100226799336,0
cost10,ERC,EQ risk ERC,0.30241984354093043,0.009696290311668973,-0.001087434385202592,0
cost10,Inverse vol,EQ risk Inverse vol,0.3121070378058397,0.01008350585601748,-0.0011774733735515225,0
cost10,Defensive momentum,Equal weight,-1.3514681462804292,-0.15435508617131946,-0.04066101037755531,0
extra_session_lag,HRP,EQ risk HRP,0.6563651154652321,0.004372561509125218,-0.0035386452358928014,0
extra_session_lag,ERC,EQ risk ERC,0.31068397408357473,0.010027348676444198,-0.0010844192877078297,0
extra_session_lag,Inverse vol,EQ risk Inverse vol,0.3190421674828492,0.010396831906464368,-0.0011658486199833918,0
extra_session_lag,Defensive momentum,Equal weight,-0.9004846595944386,-0.12459235776533155,-0.04221182452046534,0
